[BC]	[Info]	KRLE	89.7 FM	Carbon Hill, AL		Christian Contemporary
[BC]	[Info]	WVBC (LPFM)	96.9 LPFM	Bessemer, AL	Bessemer City Schools	Grade School (K-12)
[BC]	[Info]	KFLX	92.5 FM	Chino Valley, AZ		80's Rock
[Info]	WABF	1220 AM	Fairhope, AL		Nostalgia
[BC]	[Info]	WAAO	93.7 FM	Andalusia, AL		Country
[BC]	[Info]	WAAX	570 AM	Gadsden, AL		News/Talk
[BC]	[Info]	WABD	97.5 FM	Mobile, AL		Top-40
[BC]	[Info]	WACQ	580 AM	Tuskegee, AL		Classic Hits
[BC]	[Info]	WACT	1420 AM	Tuscaloosa, AL		Adult Contemporary
[BC]	[Info]	WACV	93.1 FM	Coosada, AL		News/Talk
[BC]	[Info]	WAFN	92.7 FM	Arab, AL		Oldies
[Info]	WAGF	1320 AM	Dothan, AL		Religious
[Info]	WAGF	101.3 FM	Dothan, AL		Urban Contemporary
[BC]	[Info]	WAGG	610 AM	Birmingham, AL		Gospel Music
[BC]	[Info]	WAGH	101.3 FM	Smiths, AL		Urban Contemporary
[BC]	[Info]	WAHR	99.1 FM	Huntsville, AL		Adult Contemporary
[BC]	[Info]	WAKD	89.9 FM	Sheffield, AL		Religious
[Info]	WALJ	105.1 FM	Northport, AL		Hip Hop
[BC]	[Info]	WALN	89.3 FM	Carrollton, AL		Religious
[Info]	WALQ	1130 AM	Carrville, AL		Other
[BC]	[Info]	WALW (LPFM)	98.3 LPFM	Moulton, AL		Americana
[Info]	WALX	100.9 FM	Orrville, AL		Adult Hits
[Info]	WAMI	860 AM	Opp, AL		Gospel Music
[Info]	WAMI	102.3 FM	Opp, AL		Country
[Info]	WANI	1400 AM	Opelika, AL		News/Talk
[BC]	[Info]	WAOQ	100.3 FM	Brantley, AL		Country
[BC]	[Info]	WAPI	1070 AM	Birmingham, AL		News/Talk
[BC]	[Info]	WAPR	88.3 FM	Selma, AL	University of Alabama	Public Radio
[BC]	[Info]	WAQG	91.7 FM	Ozark, AL		Religious
[BC]	[Info]	WAQU	91.1 FM	Selma, AL		Religious
[Info]	WASG	540 AM	Daphne, AL		Religious
[BC]	[Info]	WATV	900 AM	Birmingham, AL		Rhythmic Oldies
[Info]	WAUD	1230 AM	Auburn, AL		Sports
[Info]	WAUF (LPFM)	104.5 LPFM	Auburn, AL		Christian Contemporary
[Info]	WAUF (LPFM) (CP)	97.3 LPFM	Auburn, AL		Christian Contemporary
[Info]	WAVH	106.5 FM	Daphne, AL		Talk
[BC]	[Info]	WAVU	630 AM	Albertville, AL		Gospel Music
[BC]	[Info]	WAXU	91.1 FM	Troy, AL		Religious
[BC]	[Info]	WAYE	1220 AM	Birmingham, AL		Regional Mexican
[BC]	[Info]	WAYH	88.1 FM	Harvest, AL		Christian Contemporary
[BC]	[Info]	WAYU	91.1 FM	Steele, AL		Christian Contemporary
[BC]	[Info]	WBAM	98.9 FM	Montgomery, AL		Country
[BC]	[Info]	WBCF	1240 AM	Florence, AL		News/Talk
[BC]	[Info]	WBEI	101.7 FM	Reform, AL		Hot AC
[BC]	[Info]	WBFA	98.3 FM	Fort Mitchell, AL		Hip Hop
[BC]	[Info]	WBFR	89.5 FM	Birmingham, AL		Religious
[Info]	WBFZ	105.3 FM	Selma, AL		Urban Contemporary
[BC]	[Info]	WBHJ	95.7 FM	Midfield, AL		Hip Hop
[BC]	[Info]	WBHK	98.7 FM	Warrior, AL		Urban Contemporary
[BC]	[Info]	WBHM	90.3 FM	Birmingham, AL	University of Alabama - Birmingham	Public Radio
[BC]	[Info]	WBHP	1230 AM	Huntsville, AL		News/Talk
[Info]	WBHY	840 AM	Mobile, AL		Religious
[Info]	WBHY	88.5 FM	Mobile, AL		Christian Contemporary
[Info]	WBIB	1110 AM	Centreville, AL		Gospel Music
